title,price,link,images,store_id,product_id
APPLE IPHONE 13 PRO MAX 256G...,16990,https://www.electroplanet.ma/p2908653-apple-iphone-13-pro-max-256g-sierra-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/i/sierra_bleu_5.jpg,electroplanet,apple-iphone-13-pro-max-6gb-256gb
APPLE IPHONE 13 PRO MAX 256G GOLD,16990,https://www.electroplanet.ma/p2908652-apple-iphone-13-pro-max-256g-gold.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/g/o/gold.jpg,electroplanet,apple-iphone-13-pro-max-6gb-256gb
APPLE IPHONE 12 PRO MAX 256G...,16999,https://www.electroplanet.ma/p2828079-apple-iphone-12-pro-max-256go-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/1/2/12promax_noir.jpg,electroplanet,apple-iphone-12-pro-max-6gb-256gb
APPLE IPHONE 12 PRO MAX 256G...,16999,https://www.electroplanet.ma/p2828080-apple-iphone-12-pro-max-256gb-pacific-blu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/1/2/12pro_max.jpg,electroplanet,apple-iphone-12-pro-max-6gb-256gb
APPLE IPHONE 12 PRO MAX 256G...,16999,https://www.electroplanet.ma/p2828081-apple-iphone-12-pro-max-256gb-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/1/2/12pro_max_silver.jpg,electroplanet,apple-iphone-12-pro-max-6gb-256gb
SAMSUNG Z FOLD3 12G 256G BLACK,17490,https://www.electroplanet.ma/p2870703-samsung-z-fold3-12g-256g-black.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2870703-5.jpg,electroplanet,
SAMSUNG Z FOLD3 12G 256G GREEN,17490,https://www.electroplanet.ma/p2870702-samsung-z-fold3-12g-256g-green.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2870702-3.jpg,electroplanet,
SAMSUNG Z FOLD3 12G 256G SILVER,17490,https://www.electroplanet.ma/p2870704-samsung-z-fold3-12g-256g-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2870704-3.jpg,electroplanet,
APPLE IPHONE 13 PRO 512G GOLD,18690,https://www.electroplanet.ma/p2908640-apple-iphone-13-pro-512g-gold.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_pro_gold_pure_back_iphone_13_pro_gold_pure_front_2-up_screen__usen_2.jpg,electroplanet,apple-iphone-13-pro-6gb-512gb
APPLE IPHONE 13 PRO 512G GRAPHITE,18690,https://www.electroplanet.ma/p2908638-apple-iphone-13-pro-512g-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_pro_graphite_pure_back_iphone_13_pro_graphite_pure_front_2-up_screen__usen_2.jpg,electroplanet,apple-iphone-13-pro-6gb-512gb
